2017-12-07 00:00:11.728,100.00,1,100.00,3,100.00,3
2017-12-07 00:01:34.955,99.99,2,99.99,3,99.99,3
2017-12-07 00:01:51.869,100.00,2,100.00,3,100.00,3
2017-12-07 00:06:28.822,99.98,2,99.98,3,99.98,3
2017-12-07 00:08:06.464,99.97,2,99.97,2,99.97,3
2017-12-07 00:10:02.511,99.95,3,99.95,1,99.95,2
2017-12-07 00:11:34.515,99.97,2,99.97,2,99.97,3
2017-12-07 00:11:43.227,99.97,2,99.97,3,99.97,3
2017-12-07 00:13:36.895,99.94,2,99.94,1,99.94,2
2017-12-07 00:15:54.015,99.93,3,99.93,3,99.93,2
2017-12-07 00:16:15.718,99.92,1,99.92,3,99.92,2
2017-12-07 00:17:04.234,99.91,1,99.91,3,99.91,2
2017-12-07 00:17:21.976,99.92,2,99.92,2,99.92,2
2017-12-07 00:21:29.005,99.87,1,99.87,1,99.87,2
2017-12-07 00:25:34.906,99.87,3,99.87,2,99.87,2
2017-12-07 00:26:04.106,99.86,3,99.86,3,99.86,2
2017-12-07 00:26:15.741,99.87,2,99.87,2,99.87,2
2017-12-07 00:26:23.910,99.87,1,99.87,3,99.87,2
2017-12-07 00:28:43.853,99.86,3,99.86,2,99.86,1
2017-12-07 00:33:09.482,99.87,2,99.87,2,99.87,2
2017-12-07 00:33:10.904,99.88,1,99.88,3,99.88,2
2017-12-07 00:33:56.654,99.86,1,99.86,1,99.86,3
2017-12-07 00:34:56.335,99.85,2,99.85,1,99.85,3
2017-12-07 00:36:50.385,99.84,2,99.84,3,99.84,2
2017-12-07 00:37:53.252,99.84,1,99.84,3,99.84,3
2017-12-07 00:39:11.433,99.81,3,99.81,2,99.81,1
2017-12-07 00:39:18.504,99.81,1,99.81,1,99.81,3
2017-12-07 00:39:44.041,99.80,3,99.80,3,99.80,1
2017-12-07 00:45:12.446,99.81,3,99.81,1,99.81,1
2017-12-07 00:49:32.062,99.79,3,99.79,3,99.79,2
2017-12-07 00:49:49.630,99.79,1,99.79,2,99.79,2
2017-12-07 00:49:50.195,99.79,3,99.79,2,99.79,3
2017-12-07 00:51:19.462,99.76,1,99.76,1,99.76,3
2017-12-07 00:51:40.108,99.76,1,99.76,3,99.76,3
2017-12-07 00:56:32.894,99.73,2,99.73,1,99.73,2
2017-12-07 01:02:10.565,99.75,3,99.75,3,99.75,2
2017-12-07 01:04:59.769,99.77,1,99.77,3,99.77,2
2017-12-07 01:05:14.130,99.78,3,99.78,2,99.78,1
